country,c1,c2,u1,u2
Finland,49.30712,-19.91787,15.063006,15.753973
Cyprus,-12.112593,-17.710663,16.678402,18.555477
Hungary,13.716921,-15.028726,16.011505,19.68245
Croatia,11.4810915,4.921108,15.045098,17.616913
Ireland,-15.763403,-34.86098,17.041979,18.164473
Belgium,-21.075909,-10.195826,16.215673,18.119915
Lithuania,-1.4448069,6.5874906,15.432647,18.197397
Denmark,0.5802838,-12.623141,16.378672,19.233032
Spain,-26.892712,-27.507792,16.735231,17.824436
Slovakia,29.276516,8.823338,13.7977,16.701561
Greece,-16.694384,8.022388,15.424164,18.601828
Malta,-2.9652956,33.132645,14.70898,18.102608
Germany,7.644955,21.197039,14.499743,17.796318
Austria,-7.588472,-5.430111,15.941599,18.864582
Luxembourg,19.145859,-36.17983,16.090017,16.730873
France,40.58262,-13.25987,14.508999,15.836143
Estonia,29.303799,-3.1461458,14.366677,16.456497
Italy,31.012526,-31.955654,15.669779,16.721586
Sweden,1.9093922,-23.177813,15.458089,19.46852
Slovenia,42.513573,1.4621418,13.882951,16.030972
