country,EU Cohesion Policy,EU Cohesion: Investing,Investing in EU.,EU Cohesion: Boosting,"EU Cohesion: Investing in Youth, Renewable Energy, and",EU Cohesion: Health
Finland,0.16110000014305115,0.16349999606609344,0.16200000047683716,0.16670000553131104,0.1738000065088272,0.17299999296665192
Cyprus,0.16779999434947968,0.16329999268054962,0.16899999976158142,0.16689999401569366,0.1647000014781952,0.16840000450611115
Hungary,0.16820000112056732,0.17309999465942383,0.16519999504089355,0.1655000001192093,0.15690000355243683,0.17100000381469727
Croatia,0.1665000021457672,0.16949999332427979,0.16930000483989716,0.16269999742507935,0.16599999368190765,0.16599999368190765
Ireland,0.16259999573230743,0.16590000689029694,0.164000004529953,0.17419999837875366,0.16339999437332153,0.16990000009536743
Belgium,0.16949999332427979,0.1623000055551529,0.1688999980688095,0.16940000653266907,0.16439999639987946,0.1655000001192093
Lithuania,0.17180000245571136,0.1673000007867813,0.16740000247955322,0.16339999437332153,0.16619999706745148,0.16380000114440918
Denmark,0.16979999840259552,0.16660000383853912,0.164900004863739,0.1670999974012375,0.1623000055551529,0.16930000483989716
Spain,0.16680000722408295,0.16089999675750732,0.16670000553131104,0.1768999993801117,0.16179999709129333,0.16689999401569366
Slovakia,0.1647000014781952,0.17409999668598175,0.16339999437332153,0.164900004863739,0.16779999434947968,0.16500000655651093
Greece,0.17550000548362732,0.16699999570846558,0.16859999299049377,0.16609999537467957,0.1607999950647354,0.16210000216960907
Malta,0.15970000624656677,0.1606999933719635,0.1800999939441681,0.16699999570846558,0.16979999840259552,0.16259999573230743
Germany,0.16660000383853912,0.1696999967098236,0.1720999926328659,0.16599999368190765,0.16820000112056732,0.1574999988079071
Austria,0.16930000483989716,0.1673000007867813,0.1655000001192093,0.16840000450611115,0.16359999775886536,0.16590000689029694
Luxembourg,0.17080000042915344,0.16050000488758087,0.16529999673366547,0.16300000250339508,0.17010000348091125,0.17030000686645508
France,0.16290000081062317,0.1664000004529953,0.16349999606609344,0.16509999334812164,0.17299999296665192,0.16910000145435333
Estonia,0.16169999539852142,0.17229999601840973,0.1664000004529953,0.16120000183582306,0.17110000550746918,0.16740000247955322
Italy,0.1712000072002411,0.16459999978542328,0.16269999742507935,0.16220000386238098,0.1745000034570694,0.164900004863739
Sweden,0.1678999960422516,0.1680999994277954,0.164000004529953,0.1665000021457672,0.16419999301433563,0.16930000483989716
Slovenia,0.16140000522136688,0.1695999950170517,0.16410000622272491,0.16940000653266907,0.17110000550746918,0.16429999470710754
