country,c1,c2,u1,u2
Finland,-10.895398,16.302011,2.567684,4.6205053
Cyprus,60.479828,-21.119783,4.6257844,5.618062
Romania,32.96441,78.10633,2.494965,6.2440624
Hungary,61.02207,1.5104225,4.1140842,5.9916677
Croatia,61.42832,-46.883286,4.977223,5.244066
Ireland,-30.58201,3.9500215,2.6112905,3.9840267
Belgium,-66.88032,4.541033,2.0215821,3.6536248
Lithuania,22.559292,9.333009,3.3438394,5.4829316
Denmark,14.073934,-67.487335,4.4342117,4.7416873
Spain,-49.837532,24.960907,1.6677102,4.1749234
Slovakia,8.922024,64.93223,2.1243641,5.847396
Greece,-36.813187,44.875324,1.6564487,4.931487
Malta,0.78057855,-49.860924,4.3767447,4.0827026
Austria,-47.63511,-11.502325,2.5539944,3.4728227
Luxembourg,13.127542,-17.018002,3.7155905,4.8805885
France,26.24771,-48.435326,4.6688805,4.3395247
Estonia,13.216349,37.267754,2.591007,5.591295
Italy,-8.857395,-6.1447253,3.150775,4.388617
Sweden,-26.555864,-32.75508,3.5045102,3.6352885
Slovenia,36.290207,30.814428,3.0584595,6.0335674
