,word,topic_id,importance,word_count
20,reform investment,2,0.017343663,156
21,eur million,2,0.0136622265,123
22,recovery resilience facility,2,0.0058116294,63
23,pension system,2,0.005744758,63
30,eur billion,3,0.005363892,87
0,percentage point,0,0.0052427487,75
24,propose,2,0.0052224407,53
25,mechanism,2,0.0049322937,50
26,sustainable transport,2,0.0048339763,60
27,csr,2,0.0047506937,42
28,recommendation,2,0.0046431837,46
1,eur billion,0,0.0045626806,87
29,envisage,2,0.0043687443,48
10,public service,1,0.003809633,81
11,eur billion,1,0.0035300916,87
31,percentage point,3,0.0034351174,75
32,climate action,3,0.0032119863,51
33,public service,3,0.0032043455,81
12,percentage point,1,0.0031569246,75
13,economic recovery,1,0.0031444593,60
2,public service,0,0.0030737258,81
14,long term,1,0.0030126213,48
34,economic recovery,3,0.0029311846,60
3,effort sharing regulation,0,0.002874813,39
15,climate action,1,0.0028355292,51
4,share renewable energy,0,0.0027574932,42
35,final energy consumption,3,0.0027483369,42
16,banking sector,1,0.0027150793,42
17,air quality,1,0.002700274,48
36,public finance,3,0.0026750183,54
18,billion,1,0.0026662012,51
5,air quality,0,0.0026552337,48
6,billion,0,0.0026427703,51
7,final energy consumption,0,0.0026395181,42
8,climate action,0,0.0026177645,51
19,high eu average,1,0.0026161636,42
9,social exclusion,0,0.002549386,51
37,economic activity,3,0.0024324842,42
38,education skill,3,0.0023719515,39
39,remain limited,3,0.002198882,36
