country,c1,c2,u1,u2
Finland,-46.30302,-9.399415,3.1748097,-3.111722
Cyprus,-32.527184,26.147696,3.6742322,-2.109012
Hungary,-12.821935,86.682724,0.10402051,-2.0361476
Croatia,-80.08432,24.486355,2.6477726,-3.6009336
Ireland,31.508795,-21.224936,2.9671254,-2.5651908
Belgium,-82.908875,-61.13222,0.9638935,-2.750466
Lithuania,26.40422,11.789264,2.1439893,-1.2265093
Denmark,5.921073,-35.60259,3.432501,-1.2920384
Spain,43.00046,80.64887,1.3286375,-0.9773851
Slovakia,27.528646,-84.24106,1.986556,-2.4629867
Greece,-19.769272,-24.505228,3.2696466,-1.7437425
Malta,58.938725,33.74627,0.7376883,-1.6396914
Germany,-12.3421335,-65.87708,2.432182,-3.1745808
Austria,-43.332806,-99.991066,3.6431677,-2.7021801
Luxembourg,-45.386055,-50.100945,1.8046803,-1.8360643
France,22.888878,50.47182,1.7743548,-0.77374154
Estonia,74.4611,8.290538,0.40115187,-2.5696967
Italy,-17.996016,2.6582625,2.8539,-1.0468545
Sweden,-0.35418612,24.928465,2.4404206,-0.65937924
Slovenia,5.968005,-6.61404,2.6724558,-1.6955739
